SYMBOL_NAME,Description,Sector,ISIN,SECURITY_ID,Status,UNDERLYING_SYMBOL,EXCHANGE,SEGMENT,INSTRUMENT_TYPE,SERIES,LOT_SIZE
ADANIPOWER,Adani Power Limited,Utilities,INE814H01029,17388.0,MATCHED,ADANIPOWER,BSE,E,EQUITY,A,1.0
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Transportation,INE742F01042,15083.0,MATCHED,ADANIPORTS,BSE,E,EQUITY,A,1.0
ONGC,Oil & Natural Gas Corp. Ltd.,Energy minerals,INE213A01029,2475.0,MATCHED,ONGC,BSE,E,EQUITY,A,1.0
BEL,Bharat Electronics Limited,Electronic technology,INE263A01024,383.0,MATCHED,BEL,BSE,E,EQUITY,A,1.0
ADANIENT,Adani Enterprises Limited,Distribution services,INE423A01024,25.0,MATCHED,ADANIENT,BSE,E,EQUITY,A,1.0
JSWSTEEL,JSW Steel Limited,Non-energy minerals,INE019A01038,11723.0,MATCHED,JSWSTEEL,BSE,E,EQUITY,A,1.0
DMART,Avenue Supermarts Ltd.,Retail trade,INE192R01011,19913.0,MATCHED,DMART,BSE,E,EQUITY,A,1.0
POWERGRID,Power Grid Corporation of India Limited,Utilities,INE752E01010,14977.0,MATCHED,POWERGRID,BSE,E,EQUITY,A,1.0
WIPRO,Wipro Limited,Technology services,INE075A01022,3787.0,MATCHED,WIPRO,BSE,E,EQUITY,A,1.0
NESTLEIND,Nestle India Ltd.,Consumer non-durables,INE239A01024,17963.0,MATCHED,NESTLEIND,BSE,E,EQUITY,A,1.0
ASIANPAINT,Asian Paints Ltd.,Process industries,INE021A01026,236.0,MATCHED,ASIANPAINT,BSE,E,EQUITY,A,1.0
COALINDIA,Coal India Ltd.,Energy minerals,INE522F01014,20374.0,MATCHED,COALINDIA,BSE,E,EQUITY,A,1.0
INDIGO,InterGlobe Aviation Ltd,Transportation,INE646L01027,11195.0,MATCHED,INDIGO,BSE,E,EQUITY,A,1.0
IOC,Indian Oil Corp. Ltd.,Energy minerals,INE242A01010,1624.0,MATCHED,IOC,BSE,E,EQUITY,A,1.0
TATASTEEL,Tata Steel Limited,Non-energy minerals,INE081A01020,3499.0,MATCHED,TATASTEEL,BSE,E,EQUITY,A,1.0
HINDZINC,Hindustan Zinc Limited,Non-energy minerals,INE267A01025,1424.0,MATCHED,HINDZINC,BSE,E,EQUITY,A,1.0
JIOFIN,Jio Financial Services Limited,Finance,INE758E01017,18143.0,MATCHED,JIOFIN,BSE,E,EQUITY,A,1.0
GRASIM,Grasim Industries Ltd.,Non-energy minerals,INE047A01021,1232.0,MATCHED,GRASIM,BSE,E,EQUITY,A,1.0
EICHERMOT,Eicher Motors Limited,Consumer durables,INE066A01021,910.0,MATCHED,EICHERMOT,BSE,E,EQUITY,A,1.0
HYUNDAI,Hyundai Motor India Limited,Consumer durables,INE0V6F01027,25844.0,MATCHED,HYUNDAI,BSE,E,EQUITY,A,1.0
DLF,DLF Limited,Finance,INE271C01023,14732.0,MATCHED,DLF,BSE,E,EQUITY,A,1.0
VEDL,Vedanta Limited,Non-energy minerals,INE205A01025,3063.0,MATCHED,VEDL,BSE,E,EQUITY,A,1.0
SBILIFE,SBI Life Insurance Co. Ltd.,Finance,INE123W01016,21808.0,MATCHED,SBILIFE,BSE,E,EQUITY,A,1.0
DIVISLAB,Divi's Laboratories Limited,Health technology,INE361B01024,10940.0,MATCHED,DIVISLAB,BSE,E,EQUITY,A,1.0
HINDALCO,Hindalco Industries Limited,Non-energy minerals,INE038A01020,1363.0,MATCHED,HINDALCO,BSE,E,EQUITY,A,1.0
TVSMOTOR,TVS Motor Company Limited,Consumer durables,INE494B01023,8479.0,MATCHED,TVSMOTOR,BSE,E,EQUITY,A,1.0
TRENT,Trent Limited,Retail trade,INE849A01020,1964.0,MATCHED,TRENT,BSE,E,EQUITY,A,1.0
ADANIGREEN,Adani Green Energy Limited,Utilities,INE364U01010,3563.0,MATCHED,ADANIGREEN,BSE,E,EQUITY,A,1.0
LTIM,LTIMindtree Limited,Technology services,INE214T01019,17818.0,MATCHED,LTIM,BSE,E,EQUITY,A,1.0
IRFC,Indian Railway Finance Corp. Ltd.,Finance,INE053F01010,2029.0,MATCHED,IRFC,BSE,E,EQUITY,A,1.0
HDFCLIFE,HDFC Life Insurance Co. Ltd.,Finance,INE795G01014,467.0,MATCHED,HDFCLIFE,BSE,E,EQUITY,A,1.0
PIDILITIND,Pidilite Industries Limited,Process industries,INE318A01026,2664.0,MATCHED,PIDILITIND,BSE,E,EQUITY,A,1.0
VBL,Varun Beverages Ltd.,Consumer non-durables,INE200M01039,18921.0,MATCHED,VBL,BSE,E,EQUITY,A,1.0
BRITANNIA,Britannia Industries Ltd,Consumer non-durables,INE216A01030,547.0,MATCHED,BRITANNIA,BSE,E,EQUITY,A,1.0
TATAMOTORS,Tata Motors Limited,Consumer durables,INE155A01022,3456.0,MATCHED,TATAMOTORS,,,,,
BPCL,Bharat Petroleum Corporation Limited,Energy minerals,INE029A01011,526.0,MATCHED,BPCL,BSE,E,EQUITY,A,1.0
TECHM,Tech Mahindra Limited,Technology services,INE669C01036,13538.0,MATCHED,TECHM,BSE,E,EQUITY,A,1.0
BAJAJHLDNG,Bajaj Holdings & Investment Limited.,Finance,INE118A01012,305.0,MATCHED,BAJAJHLDNG,BSE,E,EQUITY,A,1.0
TATACAP,Tata Capital Ltd.,Finance,INE976I01016,759265.0,MATCHED,TATACAP,BSE,E,EQUITY,A,1.0
AMBUJACEM,Ambuja Cements Limited,Non-energy minerals,INE079A01024,1270.0,MATCHED,AMBUJACEM,BSE,E,EQUITY,A,1.0
CHOLAFIN,Cholamandalam Investment and Finance Co. Ltd.,Finance,INE121A01024,685.0,MATCHED,CHOLAFIN,BSE,E,EQUITY,A,1.0
BANKBARODA,Bank of Baroda,Finance,INE028A01039,4668.0,MATCHED,BANKBARODA,BSE,E,EQUITY,A,1.0
MUTHOOTFIN,Muthoot Finance Ltd,Finance,INE414G01012,23650.0,MATCHED,MUTHOOTFIN,BSE,E,EQUITY,A,1.0
PFC,Power Finance Corporation Limited,Finance,INE134E01011,14299.0,MATCHED,PFC,BSE,E,EQUITY,A,1.0
PNB,Punjab National Bank,Finance,INE160A01022,10666.0,MATCHED,PNB,BSE,E,EQUITY,A,1.0
CIPLA,Cipla Ltd,Health technology,INE059A01026,694.0,MATCHED,CIPLA,BSE,E,EQUITY,A,1.0
SOLARINDS,Solar Industries India Limited,Process industries,INE343H01029,13332.0,MATCHED,SOLARINDS,BSE,E,EQUITY,A,1.0
TATAPOWER,Tata Power Company Limited,Utilities,INE245A01021,3426.0,MATCHED,TATAPOWER,BSE,E,EQUITY,A,1.0
SHRIRAMFIN,Shriram Finance Limited,Finance,INE721A01047,4306.0,MATCHED,SHRIRAMFIN,BSE,E,EQUITY,A,1.0
HDFCAMC,HDFC Asset Management Co. Ltd.,Finance,INE127D01025,4244.0,MATCHED,HDFCAMC,BSE,E,EQUITY,A,1.0
TORNTPHARM,Torrent Pharmaceuticals Ltd,Health technology,INE685A01028,3518.0,MATCHED,TORNTPHARM,BSE,E,EQUITY,A,1.0
CGPOWER,CG Power & Industrial Solutions Ltd,Producer manufacturing,INE067A01029,760.0,MATCHED,CGPOWER,BSE,E,EQUITY,A,1.0
LODHA,Lodha Developers Ltd.,Finance,INE670K01029,3220.0,MATCHED,LODHA,BSE,E,EQUITY,A,1.0
MAXHEALTH,Max Healthcare Institute Ltd,Health services,INE027H01010,22377.0,MATCHED,MAXHEALTH,BSE,E,EQUITY,A,1.0
GAIL,GAIL (India) Limited,Utilities,INE129A01019,4717.0,MATCHED,GAIL,BSE,E,EQUITY,A,1.0
GODREJCP,Godrej Consumer Products Limited,Consumer non-durables,INE102D01028,10099.0,MATCHED,GODREJCP,BSE,E,EQUITY,A,1.0
TATACONSUM,Tata Consumer Products Limited,Consumer non-durables,INE192A01025,3432.0,MATCHED,TATACONSUM,BSE,E,EQUITY,A,1.0
BOSCHLTD,Bosch Limited,Producer manufacturing,INE323A01026,2181.0,MATCHED,BOSCHLTD,BSE,E,EQUITY,A,1.0
CANBK,Canara Bank,Finance,INE476A01022,10794.0,MATCHED,CANBK,BSE,E,EQUITY,A,1.0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Health services,INE437A01024,157.0,MATCHED,APOLLOHOSP,BSE,E,EQUITY,A,1.0
MAZDOCK,Mazagon Dock Shipbuilders Ltd.,Producer manufacturing,INE249Z01020,509.0,MATCHED,MAZDOCK,BSE,E,EQUITY,A,1.0
LGEINDIA,LG Electronics India Limited,Consumer durables,INE324D01010,760213.0,MATCHED,LGEINDIA,BSE,E,EQUITY,B,1.0
HEROMOTOCO,Hero Motocorp Limited,Consumer durables,INE158A01026,1348.0,MATCHED,HEROMOTOCO,BSE,E,EQUITY,A,1.0
POLYCAB,Polycab India Ltd.,Producer manufacturing,INE455K01017,9590.0,MATCHED,POLYCAB,BSE,E,EQUITY,A,1.0
ADANIENSOL,Adani Energy Solutions Ltd,Utilities,INE931S01010,10217.0,MATCHED,ADANIENSOL,BSE,E,EQUITY,A,1.0
SIEMENS,Siemens Limited,Producer manufacturing,INE003A01024,3150.0,MATCHED,SIEMENS,BSE,E,EQUITY,A,1.0
ENRIN,Siemens Energy India Limited,Utilities,INE1NPP01017,756871.0,MATCHED,ENRIN,BSE,E,EQUITY,B,1.0
MOTHERSON,Samvardhana Motherson International Limited,Producer manufacturing,INE775A01035,4204.0,MATCHED,MOTHERSON,BSE,E,EQUITY,A,1.0
CUMMINSIND,Cummins India Limited,Producer manufacturing,INE298A01020,1901.0,MATCHED,CUMMINSIND,BSE,E,EQUITY,A,1.0
ABB,ABB India Limited,Producer manufacturing,INE117A01022,13.0,MATCHED,ABB,BSE,E,EQUITY,A,1.0
SWIGGY,Swiggy Limited,Transportation,INE00H001014,27066.0,MATCHED,SWIGGY,BSE,E,EQUITY,B,1.0
SHREECEM,Shree Cement Limited,Non-energy minerals,INE070A01015,3103.0,MATCHED,SHREECEM,BSE,E,EQUITY,A,1.0
INDIANB,Indian Bank,Finance,INE562A01011,14309.0,MATCHED,INDIANB,BSE,E,EQUITY,A,1.0
DRREDDY,Dr. Reddy's Laboratories Ltd.,Health technology,INE089A01031,881.0,MATCHED,DRREDDY,BSE,E,EQUITY,A,1.0
INDHOTEL,Indian Hotels Co. Ltd.,Consumer services,INE053A01029,1512.0,MATCHED,INDHOTEL,BSE,E,EQUITY,A,1.0
UNIONBANK,Union Bank of India Limited,Finance,INE692A01016,10753.0,MATCHED,UNIONBANK,BSE,E,EQUITY,A,1.0
BSE,BSE Ltd.,Finance,INE118H01025,19585.0,MATCHED,BSE,BSE,E,EQUITY,NS,1.0
JINDALSTEL,Jindal Steel Limited,Non-energy minerals,INE749A01030,6733.0,MATCHED,JINDALSTEL,BSE,E,EQUITY,A,1.0
MANKIND,Mankind Pharma Ltd.,Health technology,INE634S01028,15380.0,MATCHED,MANKIND,BSE,E,EQUITY,A,1.0
WAAREEENER,WAAREE Energies Limited,Electronic technology,INE377N01017,25907.0,MATCHED,WAAREEENER,BSE,E,EQUITY,B,1.0
DIXON,Dixon Technologies (India) Ltd.,Electronic technology,INE935N01020,21690.0,MATCHED,DIXON,BSE,E,EQUITY,A,1.0
ICICIGI,ICICI Lombard General Insurance Co. Ltd.,Finance,INE765G01017,21770.0,MATCHED,ICICIGI,BSE,E,EQUITY,A,1.0
ZYDUSLIFE,Zydus Lifesciences Limited,Health technology,INE010B01027,7929.0,MATCHED,ZYDUSLIFE,BSE,E,EQUITY,A,1.0
UNITDSPR,United Spirits Limited,Consumer non-durables,INE854D01024,10447.0,MATCHED,UNITDSPR,BSE,E,EQUITY,A,1.0
IDBI,IDBI Bank Limited,Finance,INE008A01015,1476.0,MATCHED,IDBI,BSE,E,EQUITY,A,1.0
RECLTD,REC Limited,Finance,INE020B01018,15355.0,MATCHED,RECLTD,BSE,E,EQUITY,A,1.0
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy minerals,INE094A01015,1406.0,MATCHED,HINDPETRO,BSE,E,EQUITY,A,1.0
MARICO,Marico Limited,Consumer non-durables,INE196A01026,4067.0,MATCHED,MARICO,BSE,E,EQUITY,A,1.0
GMRAIRPORT,GMR Airports Ltd,Transportation,INE776C01039,13528.0,MATCHED,GMRAIRPORT,BSE,E,EQUITY,A,1.0
JSWENERGY,JSW Energy Limited,Utilities,INE121E01018,17869.0,MATCHED,JSWENERGY,BSE,E,EQUITY,A,1.0
IDEA,Vodafone Idea Ltd,Communications,INE669E01016,14366.0,MATCHED,IDEA,BSE,E,EQUITY,A,1.0
SRF,Srf Limited,Process industries,INE647A01010,3273.0,MATCHED,SRF,BSE,E,EQUITY,A,1.0
HAVELLS,Havells India Limited,Producer manufacturing,INE176B01034,9819.0,MATCHED,HAVELLS,BSE,E,EQUITY,A,1.0
BAJAJHFL,Bajaj Housing Finance Ltd.,Finance,INE377Y01014,25270.0,MATCHED,BAJAJHFL,BSE,E,EQUITY,A,1.0
BHARTIHEXA,Bharti Hexacom Limited,Communications,INE343G01021,23489.0,MATCHED,BHARTIHEXA,BSE,E,EQUITY,A,1.0
INDUSTOWER,Indus Towers Limited,Finance,INE121J01017,29135.0,MATCHED,INDUSTOWER,BSE,E,EQUITY,A,1.0
DABUR,Dabur India Limited,Consumer non-durables,INE016A01026,772.0,MATCHED,DABUR,BSE,E,EQUITY,A,1.0
PERSISTENT,Persistent Systems Limited,Technology services,INE262H01021,18365.0,MATCHED,PERSISTENT,BSE,E,EQUITY,A,1.0
LUPIN,Lupin Limited,Health technology,INE326A01037,10440.0,MATCHED,LUPIN,BSE,E,EQUITY,A,1.0
SBICARD,SBI Cards & Payment Services Ltd,Finance,INE018E01016,17971.0,MATCHED,SBICARD,BSE,E,EQUITY,A,1.0
NHPC,NHPC Limited,Utilities,INE848E01016,17400.0,MATCHED,NHPC,BSE,E,EQUITY,A,1.0
ICICIPRULI,ICICI Prudential Life Insurance Co. Ltd.,Finance,INE726G01019,18652.0,MATCHED,ICICIPRULI,BSE,E,EQUITY,A,1.0
NAUKRI,Info Edge India Ltd.,Technology services,INE663F01032,13751.0,MATCHED,NAUKRI,BSE,E,EQUITY,A,1.0
NTPCGREEN,NTPC Green Energy Limited,Utilities,INE0ONG01011,27176.0,MATCHED,NTPCGREEN,BSE,E,EQUITY,B,1.0
PAYTM,One 97 Communications Ltd.,Finance,INE982J01020,6705.0,MATCHED,PAYTM,BSE,E,EQUITY,A,1.0
FORTIS,Fortis Healthcare Ltd.,Health services,INE061F01013,14592.0,MATCHED,FORTIS,BSE,E,EQUITY,A,1.0
BHEL,Bharat Heavy Electricals Limited,Producer manufacturing,INE257A01026,438.0,MATCHED,BHEL,BSE,E,EQUITY,A,1.0
ASHOKLEY,Ashok Leyland Limited,Producer manufacturing,INE208A01029,212.0,MATCHED,ASHOKLEY,BSE,E,EQUITY,A,1.0
ABCAPITAL,Aditya Birla Capital Ltd.,Finance,INE674K01013,21614.0,MATCHED,ABCAPITAL,BSE,E,EQUITY,A,1.0
POWERINDIA,Hitachi Energy India Limited,Electronic technology,INE07Y701011,18457.0,MATCHED,POWERINDIA,BSE,E,EQUITY,A,1.0
OFSS,Oracle Financial Services Software Limited,Technology services,INE881D01027,10738.0,MATCHED,OFSS,BSE,E,EQUITY,A,1.0
GVT&D,GE Vernova T&D India Limited,Producer manufacturing,INE200A01026,16783.0,MATCHED,GVT&D,NSE,E,EQUITY,EQ,1.0
POLICYBZR,PB Fintech Limited,Technology services,INE417T01026,6656.0,MATCHED,POLICYBZR,BSE,E,EQUITY,A,1.0
IOB,Indian Overseas Bank,Finance,INE565A01014,9348.0,MATCHED,IOB,BSE,E,EQUITY,A,1.0
NYKAA,FSN E-Commerce Ventures Ltd.,Retail trade,INE388Y01029,6545.0,MATCHED,NYKAA,BSE,E,EQUITY,A,1.0
PRESTIGE,Prestige Estates Projects Limited,Finance,INE811K01011,20302.0,MATCHED,PRESTIGE,BSE,E,EQUITY,A,1.0
SUZLON,Suzlon Energy Ltd,Producer manufacturing,INE040H01021,12018.0,MATCHED,SUZLON,BSE,E,EQUITY,A,1.0
UNOMINDA,UNO Minda Limited,Producer manufacturing,INE405E01023,14154.0,MATCHED,UNOMINDA,BSE,E,EQUITY,A,1.0
YESBANK,Yes Bank Limited,Finance,INE528G01035,11915.0,MATCHED,YESBANK,BSE,E,EQUITY,A,1.0
LLOYDSME,Lloyds Metals & Energy Ltd.,Non-energy minerals,INE281B01032,17313.0,MATCHED,LLOYDSME,BSE,E,EQUITY,A,1.0
VMM,Vishal Mega Mart Ltd.,Retail trade,INE01EA01019,27969.0,MATCHED,VMM,BSE,E,EQUITY,B,1.0
RVNL,Rail Vikas Nigam Ltd.,Industrial services,INE415G01027,9552.0,MATCHED,RVNL,BSE,E,EQUITY,A,1.0
ATGL,Adani Total Gas Ltd.,Utilities,INE399L01023,6066.0,MATCHED,ATGL,BSE,E,EQUITY,A,1.0
GODREJPROP,Godrej Properties Limited,Finance,INE484J01027,17875.0,MATCHED,GODREJPROP,BSE,E,EQUITY,A,1.0
GICRE,General Insurance Corporation of India,Finance,INE481Y01014,277.0,MATCHED,GICRE,BSE,E,EQUITY,A,1.0
ALKEM,Alkem Laboratories Ltd.,Health technology,INE540L01014,11703.0,MATCHED,ALKEM,BSE,E,EQUITY,A,1.0
LTF,L&T Finance Ltd,Finance,INE498L01015,24948.0,MATCHED,LTF,BSE,E,EQUITY,A,1.0
OIL,Oil India Limited,Energy minerals,INE274J01014,17438.0,MATCHED,OIL,BSE,E,EQUITY,A,1.0
MRF,MRF Limited,Consumer durables,INE883A01011,2277.0,MATCHED,MRF,BSE,E,EQUITY,A,1.0
TORNTPOWER,Torrent Power Limited,Utilities,INE813H01021,13786.0,MATCHED,TORNTPOWER,BSE,E,EQUITY,A,1.0
NMDC,NMDC Limited,Non-energy minerals,INE584A01023,15332.0,MATCHED,NMDC,BSE,E,EQUITY,A,1.0
JSL,Jindal Stainless Limited,Non-energy minerals,INE220G01021,11236.0,MATCHED,JSL,BSE,E,EQUITY,A,1.0
PATANJALI,Patanjali Foods Limited,Process industries,INE619A01035,17029.0,MATCHED,PATANJALI,BSE,E,EQUITY,A,1.0
AUROPHARMA,Aurobindo Pharma Ltd,Health technology,INE406A01037,275.0,MATCHED,AUROPHARMA,BSE,E,EQUITY,A,1.0
BERGEPAINT,Berger Paints India Limited,Process industries,INE463A01038,404.0,MATCHED,BERGEPAINT,BSE,E,EQUITY,A,1.0
ABBOTINDIA,Abbott India Limited,Health technology,INE358A01014,17903.0,MATCHED,ABBOTINDIA,BSE,E,EQUITY,A,1.0
COROMANDEL,Coromandel International Limited,Process industries,INE169A01031,739.0,MATCHED,COROMANDEL,BSE,E,EQUITY,A,1.0
COLPAL,Colgate-Palmolive (India) Limited,Consumer non-durables,INE259A01022,15141.0,MATCHED,COLPAL,BSE,E,EQUITY,A,1.0
OBEROIRLTY,Oberoi Realty Limited,Finance,INE093I01010,20242.0,MATCHED,OBEROIRLTY,BSE,E,EQUITY,A,1.0
JSWINFRA,JSW Infrastructure Limited,Industrial services,INE880J01026,19020.0,MATCHED,JSWINFRA,BSE,E,EQUITY,A,1.0
TIINDIA,Tube Investments of India Limited,Non-energy minerals,INE974X01010,312.0,MATCHED,TIINDIA,BSE,E,EQUITY,A,1.0
HDBFS,HDB Financial Services Limited,Finance,INE756I01012,757772.0,MATCHED,HDBFS,BSE,E,EQUITY,B,1.0
SCHAEFFLER,Schaeffler India Ltd,Producer manufacturing,INE513A01022,1011.0,MATCHED,SCHAEFFLER,BSE,E,EQUITY,A,1.0
MOTILALOFS,Motilal Oswal Financial Services Limited,Technology services,INE338I01027,14947.0,MATCHED,MOTILALOFS,BSE,E,EQUITY,A,1.0
PHOENIXLTD,Phoenix Mills Ltd.,Finance,INE211B01039,14552.0,MATCHED,PHOENIXLTD,BSE,E,EQUITY,A,1.0
BHARATFORG,Bharat Forge Ltd,Producer manufacturing,INE465A01025,422.0,MATCHED,BHARATFORG,BSE,E,EQUITY,A,1.0
AUBANK,AU Small Finance Bank Limited,Finance,INE949L01017,21238.0,MATCHED,AUBANK,BSE,E,EQUITY,A,1.0
INDUSINDBK,IndusInd Bank Ltd.,Finance,INE095A01012,5258.0,MATCHED,INDUSINDBK,BSE,E,EQUITY,A,1.0
COFORGE,Coforge Limited,Technology services,INE591G01025,11543.0,MATCHED,COFORGE,BSE,E,EQUITY,A,1.0
FACT,Fertilizers & Chemicals Travancore Ltd.,Process industries,INE188A01015,1008.0,MATCHED,FACT,BSE,E,EQUITY,B,1.0
IRCTC,Indian Railway Catering & Tourism Corp. Ltd.,Consumer services,INE335Y01020,13611.0,MATCHED,IRCTC,BSE,E,EQUITY,A,1.0
UPL,UPL Limited,Process industries,INE628A01036,11287.0,MATCHED,UPL,BSE,E,EQUITY,A,1.0
BDL,Bharat Dynamics Ltd.,Electronic technology,INE171Z01026,2144.0,MATCHED,BDL,BSE,E,EQUITY,A,1.0
BANKINDIA,Bank of India,Finance,INE084A01016,4745.0,MATCHED,BANKINDIA,BSE,E,EQUITY,A,1.0
TATACOMM,Tata Communications Limited,Communications,INE151A01013,3721.0,MATCHED,TATACOMM,BSE,E,EQUITY,A,1.0
PIIND,PI Industries Limited,Process industries,INE603J01030,24184.0,MATCHED,PIIND,BSE,E,EQUITY,A,1.0
AIIL,Authum Investment & Infrastucture Ltd,Finance,INE206F01022,23553.0,MATCHED,AIIL,BSE,E,EQUITY,A,1.0
SUPREMEIND,Supreme Industries Limited,Producer manufacturing,INE195A01028,3363.0,MATCHED,SUPREMEIND,BSE,E,EQUITY,A,1.0
MFSL,Max Financial Services Limited,Finance,INE180A01020,2142.0,MATCHED,MFSL,BSE,E,EQUITY,A,1.0
GODFRYPHLP,Godfrey Phillips India Ltd.,Consumer non-durables,INE260B01028,1181.0,MATCHED,GODFRYPHLP,BSE,E,EQUITY,A,1.0
SAIL,Steel Authority of India Limited,Non-energy minerals,INE114A01011,2963.0,MATCHED,SAIL,BSE,E,EQUITY,A,1.0
IDFCFIRSTB,IDFC First Bank Ltd.,Finance,INE092T01019,11184.0,MATCHED,IDFCFIRSTB,BSE,E,EQUITY,A,1.0
GLENMARK,Glenmark Pharmaceuticals Limited,Health technology,INE935A01035,7406.0,MATCHED,GLENMARK,BSE,E,EQUITY,A,1.0
LINDEINDIA,Linde India Ltd.,Process industries,INE473A01011,1627.0,MATCHED,LINDEINDIA,BSE,E,EQUITY,A,1.0
FEDERALBNK,Federal Bank Ltd. (India),Finance,INE171A01029,1023.0,MATCHED,FEDERALBNK,BSE,E,EQUITY,A,1.0
MPHASIS,Mphasis Limited,Technology services,INE356A01018,4503.0,MATCHED,MPHASIS,BSE,E,EQUITY,A,1.0
KALYANKJIL,Kalyan Jewellers India Ltd.,Retail trade,INE303R01014,2955.0,MATCHED,KALYANKJIL,BSE,E,EQUITY,A,1.0
JKCEMENT,J.K. Cement Ltd.,Non-energy minerals,INE823G01014,13270.0,MATCHED,JKCEMENT,BSE,E,EQUITY,A,1.0
SUNDARMFIN,Sundaram Finance Limited,Finance,INE660A01013,3339.0,MATCHED,SUNDARMFIN,BSE,E,EQUITY,B,1.0
APLAPOLLO,APL Apollo Tubes Limited,Non-energy minerals,INE702C01027,25780.0,MATCHED,APLAPOLLO,BSE,E,EQUITY,A,1.0
LAURUSLABS,Laurus Labs Ltd.,Health technology,INE947Q01028,19234.0,MATCHED,LAURUSLABS,BSE,E,EQUITY,A,1.0
PREMIERENE,Premier Energies Limited,Electronic technology,INE0BS701011,25049.0,MATCHED,PREMIERENE,BSE,E,EQUITY,A,1.0
MCX,Multi Commodity Exchange of India Limited,Finance,INE745G01035,31181.0,MATCHED,MCX,BSE,E,EQUITY,A,1.0
BIOCON,Biocon Limited,Health technology,INE376G01013,11373.0,MATCHED,BIOCON,BSE,E,EQUITY,A,1.0
VOLTAS,Voltas Limited,Producer manufacturing,INE226A01021,3718.0,MATCHED,VOLTAS,BSE,E,EQUITY,A,1.0
UBL,United Breweries Limited,Consumer non-durables,INE686F01025,16713.0,MATCHED,UBL,BSE,E,EQUITY,A,1.0
COCHINSHIP,Cochin Shipyard Limited,Producer manufacturing,INE704P01025,21508.0,MATCHED,COCHINSHIP,BSE,E,EQUITY,A,1.0
